,Unnamed: 0,제작(수입)사,차명,생산기간,시정기간,대상수량,장치분류,결함내용,시정방법,기타문의,Title,Ministry,Date,Subject
10,10,만트럭버스코리아(주),"TGS 카고, TGX 카고, TGM 카고, TGL 카고, TGX 트랙터",2020-02-05 ~ 2023-08-25,2024-08-01 ~,"1,939 대",승차 및 실내장치,"규격에 맞지 않거나 불량 시가 커넥터를 사용 시에 접촉 불량으로 인해 소켓에 지속적인 진동 및 마찰이 증가하여 (접촉 저항이 증가) 소켓에 열과 아크가 발생하여 24V 소켓이 과열되어 녹을 수 있으며, 그로 인해 화재가 발생할 수 있는 가능성에 따른 리콜<대상차량별 생산일자>TGL 카고(TGL 10.190 4x2 BL CH): 2020.11.06~2023.01.30TGM 카고(TGM 15.290 4x2 BL CH): 2020.10.08~2020.10.17TGM 카고(TGM 18.290 4x2 BL CH): 2020.11.10~2023.02.07TGM 카고(TGM 18.320 4x2 BL CH): 2020.07.29~2023.03.25TGM 카고(TGM 26.320 6x2.4 BL): 2021.04.29~2023.04.21TGS 카고(TGS 28.430 6x2=2 BL): 2021.01.14~2022.12.12TGS 카고(TGS 33.470 6x4 BB CH): 2020.12.10~2022.08.10TGS 카고(TGS 33.470 6x4 BL CH): 2022.10.17~2022.10.25TGS 카고(TGS 35.510 8x4.4 BL): 2021.01.19~2022.11.09TGS 카고(TGS 44.510 10x4.6 BL): 2021.10.22~2023.07.07TGX 트랙터(TGX 28.470 6x2=2 BL): 2020.11.20~2023.02.13TGX 트랙터(TGX 28.510 6x2=2 BL): 2020.02.19~2023.05.26TGX 트랙터(TGX 28.580 6x2=2 BL): 2020.02.05~2021.04.20TGX 트랙터(TGX 28.580 6x2=2 LL): 2021.10.26~2023.08.03TGX 트랙터(TGX 28.640 6x2=2 BL): 2020.11.18~2021.05.07TGX 트랙터(TGX 28.640 6x2=2 LL): 2021.10.28~2023.07.28TGX 트랙터(TGX 33.470 6x4 BL CH): 2023.06.06~2023.06.14TGX 트랙터(TGX 33.640 6x4 BB SA): 2021.03.02~2023.06.16TGX 트랙터(TGX 33.640 6x4 BL SA): 2020.02.24~2023.06.08TGX 카고(TGX 35.510 8x4.4 BL): 2023.03.24~2023.08.23TGX 카고(TGX 44.510 10x4.6 BL): 2021.09.15~2023.08.25","세라믹 절연체가 있는 개선된 시가소켓으로 교체<일부 차량의 경우 기존에 만트럭서비스코리아 서비스센터에서 조치가 완료되었을 수 있으며, 해당 작업에 대해 유상으로 진행한 경우에는 수리를 받으신 만트럭버스코리아 서비스센터에서 수리비를 보상받을 수 있습니다.>",만트럭 대표번호 080-661-1472,[만트럭] TGS 카고 등 5차종 - 시가소켓 관련 리콜,국토교통부,2024-08-01,[만트럭] TGS 카고 등 5차종 - 시가소켓 관련 리콜
11,11,주식회사 이비온,E6,2023-08-01 ~ 2023-09-30,2024-08-01 ~,2 대,차체/차대,차량 출고 시 설치 오류로 미적용 옵션사양에 추가 장착되어 비상상황 발생 시 안전하게 탈출하는데 장애가 발생할 수 있는 가능성에 따른 리콜 (이는 자동차 및 자동차부품의 성능과 기준에 관한 규칙 제29조(승강구 높이)에서 규정한 높이에 부적함 할 수 있음),어린이용 보조발판 제거,이비온 대표번호 1588-6389,[이비온] E6 - 승강구높이 관련 리콜,국토교통부,2024-08-01,[이비온] E6 - 승강구높이 관련 리콜
12,12,주식회사 이비온,E6,2018-06-01 ~ 2024-03-25,2024-08-01 ~,40 대,승차 및 실내장치,차량 출고 시 오장착되어 사고 발생 시 좌석에서 이탈 할 수 있는 가능성에 따른 리콜 (이는 자동차 및 자동차부품의 성능과 기준에 관한 규칙 제25조(승객좌석의 규격)에서 규정하는 좌석 높이에 부적합 할 수 있음),시트커버 교체,이비온 대표번호 1588-6389,[이비온] E6 - 승객좌석 관련 리콜,국토교통부,2024-08-01,[이비온] E6 - 승객좌석 관련 리콜
13,13,주식회사 이비온,E6,2022-12-01 ~ 2024-03-25,2024-08-01 ~,58 대,승차 및 실내장치,차량 출고 시 오장착되어 비상상황 발생 시 안전하게 이동하는데 장애가 발생할 수 있음 (이는 자동차 및 자동차부품의 성능과 기준에 관한 규칙 제1조(통로)에서 규정하는 통로너비 치수에 부적합 할 수 있음),통로너비 치수 확인 후 승객좌석 프레임 교체,이비온 대표번호 1588-6389,[이비온] E6 - 승객좌석 관련 리콜,국토교통부,2024-08-01,[이비온] E6 - 승객좌석 관련 리콜
14,14,주식회사 이비온,E6,2018-06-01 ~ 2024-03-25,2024-08-01 ~,259 대,실내안전장치,비상발생시 비상탈출용 장구 부족 및 장구의 사용방법 부착 위치가 잘못되어 신속하게 탈출하는데 장애가 발생할 수 있음에 따른 리콜 (이는 자동차 및 자동차부품의 성능과 기준에 관한 규칙 제30조(비상구)에서 규정하는 비상 탈출용 장구의 개수 및 탈출방법 기재한 표지의 부착위치에 부적합 할 수 있음),"탈출방법 표지를 망치 또는 덮개에 부착하고, 비상탈출용 망치 2개 추가 장착",이비온 대표번호 1588-6389,[이비온] E6 - 비상 탈출용 망치 관련 리콜,국토교통부,2024-08-01,[이비온] E6 - 비상 탈출용 망치 관련 리콜
15,15,현대자동차(주),"GV80 (JX1), GV80쿠페 (JX1)",2021-11-23 ~ 2024-05-18,2024-07-31 ~,"3,142 대",기타장치,전동 사이드스탭의 차체 고정부와 연료탱크 간격 협소로 측면 기둥 충돌 시 사이드스탭이 연료탱크를 타격하여 연료탱크 손상 및 연료 누유로 화재가 발생할 수 있는 가능성에 따른 리콜<대상차량별 생산일자>GV80 (JX1): 2021.11.23~2024.05.18GV80쿠페 (JX1): 2023.11.24~2024.05.03,"전동 사이드스탭 개선품, 연료탱크 충격부 보호 브라켓 장착 등",제네시스 대표번호 080-700-6000,[현대] GV80 등 2차종 - 전동 사이드스탭 관련 리콜,국토교통부,2024-07-31,[현대] GV80 등 2차종 - 전동 사이드스탭 관련 리콜
16,16,현대자동차(주),"투싼(LM), 엑센트(RB) 디젤, i40(VF)",2009-06-26 ~ 2014-10-31,2024-07-30 ~,"178,489 대",제동장치,전자제어유압장치(HECU) 내부 밀폐 성능 저하 등으로 내부 회로 기판의 전기적 합선에 의한 엔진룸 소손이 발생할 수 있는 가능성에 따른 리콜<*대상차량별 생산일자>투싼(LM): 2009.06.26~2013.06.30엑센트(RB) 디젤: 2010.05.21~2014.10.31i40(VF): 2011.05.17~2014.10.30,엔진룸 정션박스내 HECU 개선퓨즈 장착 (합선 발생 시 전원 차단하여 소손 예방),현대자동차 대표번호 080-600-6000,[현대] 투싼 등 3차종 - 전자제어유압장치(HECU) 관련 리콜,국토교통부,2024-07-30,[현대] 투싼 등 3차종 - 전자제어유압장치(HECU) 관련 리콜
17,17,테슬라코리아 유한회사,Model Y,2023-06-07 ~ 2024-06-18,2024-07-26 ~,"22,072 대",등화장치,"중국에서 생산된 차량은 KMVSS(한국 자동차 안전 기준)에서 규정하고 있는 전조등 빔 패턴이 적용되어야 하나, 펌웨어 오류로 인하여 FMVSS(미국 자동차 안전 기준)가 적용되었음이 확인됨에 따른 리콜",OTA(over-the-air)를 통한 2024.20.6 또는 이후 버전으로 업데이트(KMVSS 전조등 빔 패턴 적용),테슬라 대표번호 080-617-1399,[테슬라] Model Y - 전조등 빔 패턴 관련 리콜,국토교통부,2024-07-26,[테슬라] Model Y - 전조등 빔 패턴 관련 리콜
18,18,스텔란티스코리아주식회사,"2023년식 짚그랜드체로키 PHEV, 2023년식 짚글래디에이터, 2024년식 짚랭글러 PHEV",2023-04-13 ~ 2023-08-02,2024-07-26 ~,13 대,주행장치,"스티어링 컬럼 컨트롤 모듈 내부의 전기케이블(에어백 전개를 위해 에어백으로 전기신호를 전달하는 케이블) 제조 불량으로 충돌 시 에어백이 전개되지 않을 수 있으며, 이로 인해 충돌 시 운전자의 부상 위험이 커질 수 있는 가능성에 따른 리콜<대상차량별 생산일자>짚그랜드체로키 PHEV: 2023.07.08~2023.08.02짚글래디에이터: 2023.04.13~2023.07.07짚랭글러 PHEV: 2023.07.19","스티어링 컬럼 컨트롤 모듈 시리얼 넘버를 확인할 것이며, 결함부품으로 확인될 경우 개선된 스티어링 컬럼 컨트롤 모듈로 교체",스텔란티스 대표번호 080-365-2470,[스텔란티스] 짚그랜드체로키 PHEV 등 3차종 - 스티어링 컬럼 컨트롤 모듈 관련 리콜,국토교통부,2024-07-26,[스텔란티스] 짚그랜드체로키 PHEV 등 3차종 - 스티어링 컬럼 컨트롤 모듈 관련 리콜
19,19,한국지엠(주),콜로라도,2024-04-08 ~ 2024-04-09,2024-07-26 ~,2 대,연료장치,"연료 탱크 잠금 링을 조립하는 장비의 설정 오류로 인한 조립 불량으로, 연료 탱크 잠금 링이 완전히 조립되지 않았을 수 있으며 이런 경우 차량 충돌 시 연료가 누유될 수 있고, 이로 인해 화재의 위험성이 높아질 수 있는 가능성에 따른 리콜",연료 탱크 잠금 링 재조립,한국지엠 대표번호 080-3000-5000,[한국지엠] 콜로라도 - 연료 탱크 잠금 링 관련 리콜,국토교통부,2024-07-26,[한국지엠] 콜로라도 - 연료 탱크 잠금 링 관련 리콜
20,20,폭스바겐그룹코리아 주식회사,"A3 35 TFSI, A3 40 TFSI, A3 40 TFSI Premium, Golf A7 2.0 GTI, Golf A7 1.4 TSI BMT",2014-05-27 ~ 2019-10-08,2024-07-26 ~,"5,341 대",연료장치,"제조상의 문제로 연료 펌프의 기밀 링이 과도한 장력으로 조립되어 손상되었을 수 있으며, 이런 경우 연료증발가스가 과량 발생하여 차콜캐니스터의 허용 용량을 초과할 수 있고, 차콜캐니스터에 포집되지 않고 초과 발생하여 누출된 유증기로 인하여 화재가 발생할 수 있는 가능성이 확인됨에 따른 리콜<대상차량별 생산일자>A3 35 TFSI: 2014.07.19~2015.02.10A3 40 TFSI: 2018.04.23~2019.10.03A3 40 TFSI Premium: 2018.05.03~2018.05.25Golf A7 2.0 GTI: 2014.05.27~2019.10.08Golf A7 1.4 TSI BMT: 2014.05.28~2016.05.27",개선된 연료 펌프로 교체,아우디 대표번호 080-767-2834 / 폭스바겐 대표번호 080-767-0089,[폭스바겐그룹] A3 35 TFSI 등 5차종 - 연료 펌프 관련 리콜,국토교통부,2024-07-26,[폭스바겐그룹] A3 35 TFSI 등 5차종 - 연료 펌프 관련 리콜
21,21,폭스바겐그룹코리아 주식회사,"A8 50 TDI LWB qu. Premium, A8 50 TDI qu. Premium, A8 55 TFSI LWB qu. Premium, A8 60 TFSI LWB qu. Premium, e-tron S qu., e-tron Sportback S qu., S8 LWB TFSI, SQ8 Sportback e-tron, S8 LWB TFSI, SQ8 Sportback e-tron",2021-12-22 ~ 2024-05-23,2024-07-26 ~,"1,325 대",등화장치,"적응형 전조등의 변환빔은 차량이 전진하고 오른쪽으로 조향하는 경우에만 작동하여야 하나, 등화장치제어 소프트웨어 오류로 인하여 차량이 곡선에서 후진하는 경우에도 전조등의 변환빔이 작동할 수 있는 가능성에 따른 리콜 (이는 자동차 및 자동차부품의 성능과 기준에 관한 규칙 제38조(전조등)의 일부를 준수하지 않아 국내 자동차 안전 기준을 충족하지 않을 수 있음)<대상차량별 생산일자>A8 50 TDI LWB qu. Premium: 2022.09.05~2023.08.21A8 50 TDI qu. Premium: 2022.08.23~2023.11.02A8 55 TFSI LWB qu. Premium: 2022.03.16~2023.06.07A8 60 TFSI LWB qu. Premium: 2022.10.13~2023.06.13e-tron S qu.: 2021.12.22~2022.12.21e-tron Sportback S qu.: 2022.01.18~2024.05.23S8 LWB TFSI: 2023.02.15~2023.06.06SQ8 Sportback e-tron: 2023.11.07~2023.11.15",등화장치 소프트웨어 업데이트,아우디 대표번호 080-767-2834,[폭스바겐그룹] A8 50 TDI LWB qu. Premium 등 10차종 - 전조등 관련 리콜,국토교통부,2024-07-26,[폭스바겐그룹] A8 50 TDI LWB qu. Premium 등 10차종 - 전조등 관련 리콜
22,22,(주)재규어랜드로버코리아,"디스커버리 스포츠 D200, 재규어 F-PACE D200",2021-03-26 ~ 2022-03-10,2024-07-25 ~,372 대,원동기,"터보차저 오일 공급 파이프 클램프의 설계불량으로 연결부위가 시간이 지날수록 느슨해져 터보차저 오일 공급 파이프와 터보차저가 분리되어 오일 누출로 이어질 수 있으며, 누출된 오일이 노면에 떨어질 경우 뒤따라오는 차량의 안전운행에 영향을 미칠 수 있는 가능성에 따른 리콜<대상차량별 생산일자>디스커버리 스포츠 D200 (21년식): 2021.03.31~2021.09.01디스커버리 스포츠 D200 (22년식): 2021.09.21~2021.10.28재규어 F-PACE D200(21년식): 2021.03.26~2021.11.22재규어 F-PACE D200(22년식): 2021.11.23~2022.03.10","개선된 터보차저 오일 공급 파이프 클램프, 0-링 및 볼트 교체",재규어랜드로버 대표번호 080-894-1000,[재규어랜드로버] 디스커버리 스포츠 D200 등 2차종 - 터보차저 오일 공급 파이프 클램프 관련 리콜,국토교통부,2024-07-25,[재규어랜드로버] 디스커버리 스포츠 D200 등 2차종 - 터보차저 오일 공급 파이프 클램프 관련 리콜
23,23,한국토요타자동차(주),"NX350h, NX450h+, CROWN Dual Boost HEV, CROWN HEV",2021-04-22 ~ 2023-10-02,2024-07-25 ~,"2,829 대",기타장치,"전방 인식 카메라의 소프트웨어 오류로 인해 전방 인식 카메라가 정상 작동되지 않을 수 있으며, 이런 경우 차량 시동 시 운전보조기능 관련 경고등이 표시되고, 경고음이 울리며 운전보조기능이 제대로 작동되지 않을 수 있는 가능성에 따른 리콜<*대상차량별 생산일자>NX350h: 2021.04.22~2023.03.04NX450h+: 2021.04.22~2023.03.01CROWN Dual Boost HEV: 2023.03.02~2023.09.26CROWN HEV: 2023.03.02~2023.10.02",대상차량에 대해 전방 인식 카메라의 소프트웨어를 업데이트,렉서스 대표번호 080-4300-4300 / 토요타 대표번호 080-525-8255,[토요타] NX350h 등 4차종 - 전방 인식 카메라 관련 리콜,국토교통부,2024-07-25,[토요타] NX350h 등 4차종 - 전방 인식 카메라 관련 리콜
24,24,한국토요타자동차(주),"렉서스: ES300h, RX350h, RX450h+, RX500h, UX250h 2WD, UX250h AWD, NX350h, NX450h+, RZ450e, LS500h AWD, LS500 AWD, 토요타: CROWN Dual Boost HEV, CROWN HEV",2021-11-17 ~ 2023-08-30,2024-07-25 ~,"5,559 대",시계확보장치,"전방 및 후방 카메라 케이스 용접이 부적절하여 카메라 케이스 접합면의 방수 성능이 부족할 수 있으며, 이런 경우 카메라 내부로 물이 유입되어 회로가 고장나 차량 전방 또는 후방의 영상을 표시할 수 없어 운전자의 시야 확보가 부족할 수 있는 가능성에 따른 리콜<대상차량별 생산일자>ES300h: 2023.02.20~2023.08.23RX350h: 2022.12.21~2023.08.08RX450h+: 2022.11.17~2023.08.08RX500h: 2023.03.03~2023.07.27UX250h 2WD: 2023.01.20~2023.04.04UX250h AWD: 2023.01.27~2023.03.09NX350h: 2023.01.10~2023.03.04NX450h+: 2022.12.13~2023.03.01RZ450e: 2023.02.02~2023.07.21LS500h AWD: 2023.04.25~2023.08.25LS500 AWD: 2023.04.25~2023.08.30CROWN Dual Boost HEV: 2023.03.02~2023.08.04CROWN HEV: 2023.03.02~2023.08.04","대상차량에 대해 전방 및 후방 카메라의 제조번호를 점검 후, 필요 시 개선품으로 교환",렉서스 대표번호 080-4300-4300 / 토요타 대표번호 080-525-8255,[토요타] ES300h 등 13차종 - 전방/후방 카메라 관련 리콜,국토교통부,2024-07-25,[토요타] ES300h 등 13차종 - 전방/후방 카메라 관련 리콜
25,25,폭스바겐그룹코리아 주식회사,e-tron 55 quattro,2020-03-13 ~ 2020-08-27,2024-07-24 ~,833 대,연료장치,"특정 기간에 생산된 차량에 적용된 일부 고전압 배터리 모듈에서 심각한 자기 방전이 발생할 수 있으며, 이런 경우 고전압 배터리의 성능 손실이 발생할 수 있고, 고전압 배터리 자기 방전으로 인하여 차량 하부에서 연기 혹은 화재가 발생하여, 탑승자의 상해 발생 위험이 증가할 수 있는 가능성이 확인됨에 따른 리콜","고전압 배터리 점검 및 필요 시 배터리 셀 모듈 교체, 소프트웨어 업데이트 (결함 검출 기능 강화)",아우디 대표번호 080-767-2834,[폭스바겐그룹] e-tron 55 quattro - 고전압배터리 관련 리콜,국토교통부,2024-07-24,[폭스바겐그룹] e-tron 55 quattro - 고전압배터리 관련 리콜
